,Feather (Uffinch),500,0.048,477,
,Feather (Eagle),500,0.095,456,
,Large Bones (Eagle),50,0.095,46,
,,,,,
,Fletching,"Arrow shafts cost is based on redwood logs, feather cost based on eagles",,,
,,,,,
,Item,per hour (activity),hours (material),per hour (total),
,Bronze Arrow,200,1.930,68,
,Iron Arrow,200,1.869,70,
,Mithril Arrow,200,2.208,62,
,Adamantine Arrow,200,3.230,47,
,Runite Arrow,200,3.609,43,
,Titanium Arrow,200,3.869,41,
,Orichalcum Arrow,200,4.355,37,
,,,,,
,Bonemeal,"""Item"" shows where the bones are based of",,,
,,,,,
,Item,per hour (activity),hours (material),per hour (total),
,Large Bones (Eagle),1400,4.381,260,
,,,,,
,Alchemy,"Paper cost based on redwood logs, Bonemeal cost based on Large Bones (Eagle)",,,
,,,,,
,Item,per hour (activity),hours (material),per hour (total),
,Shadow Scroll,200,1.227,90,
,Nature Scroll,200,1.665,75,feather cost based on eagles
,Aqua Scroll,200,2.894,51,
,Hell Scroll,200,4.129,39,ash cost based on redwood
,Air Scroll,200,2.872,52,feather cost based on eagles
,Barrage Scroll,200,-,-,medium bone cost not yet found
,Freeze Scroll,200,7.146,25,large bones based on eagles
,Ancient Scroll,200,10.701,17,
